Column1,Column2,Column3,Column4,Column5
산업,광고제목,광고부제목,날짜,링크
정보통신,카카오톡,카톡 안녕 캠페인_최신버전 업데이트,8.05 (2022.08.05,https://play.tvcf.co.kr/882285
정보통신,핀다,"대출주도권을 당신에게로_대출관리, 이혜민 CEO",8.04 (2022.08.05,https://play.tvcf.co.kr/882275
정보통신,머스타드,광고 디자인이 망해서 머쓱할 땐? ㅣ머스타드 X 이광수 X 박진주ㅣ ep1. 광고 디자인,7.29 (2022.08.04,https://play.tvcf.co.kr/882159
정보통신,머스타드,광고 디자인이 망해서 머쓱할 땐? 15sㅣ머스타드 X 이광수 X 박진주ㅣ ep1. 광고 디자인,8.01 (2022.08.04,https://play.tvcf.co.kr/882158
정보통신,머스타드,가게 광고하려다 머쓱할 땐? 15sㅣ머스타드 X 이광수 X 박진주 ㅣ ep2. 매장 광고,8.01 (2022.08.04,https://play.tvcf.co.kr/882153
정보통신,머스타드,"광고, 방법을 몰라 머쓱할 땐? 15s ㅣ머스타드 X 이광수 X 박진주 ㅣ ep3. 지하철 광고",8.01 (2022.08.04,https://play.tvcf.co.kr/882151
정보통신,머스타드,가게 광고하려다 머쓱할 땐?ㅣ머스타드 X 이광수 X 박진주 ㅣ ep2. 매장 광고,7.29 (2022.08.04,https://play.tvcf.co.kr/882154
정보통신,머스타드,"광고, 방법을 몰라 머쓱할 땐? ㅣ머스타드 X 이광수 X 박진주 ㅣ ep3. 지하철 광고",7.29 (2022.08.04,https://play.tvcf.co.kr/882152
정보통신,머스타드,사장님을 위한 전방위 광고 솔루션!ㅣ머스타드 X 이광수 X 박진주 ㅣ Full ver.,7.29 (2022.08.04,https://play.tvcf.co.kr/882150
정보통신,FLO,FLO 크리에이터 대모집,7.07 (2022.08.03,https://play.tvcf.co.kr/881918
정보통신,FLO,FLO 크리에이터 대모집,7.07 (2022.08.03,https://play.tvcf.co.kr/881917
정보통신,FLO,FLO 크리에이터 대모집,7.07 (2022.08.03,https://play.tvcf.co.kr/881914
정보통신,배달의민족,당첨되면 뭐 먹지_너구리 몰고 배민 골든티켓 찾자,2.01 (2022.08.03,https://play.tvcf.co.kr/881869
정보통신,배달의민족,우리 시마 보신 분_너구리 몰고 배민 골든티켓 찾자,2.01 (2022.08.03,https://play.tvcf.co.kr/881868
