,대여소,Station,Distance
0,합정역 7번출구 앞,합정,0.001225458090021113
1,DMC파크뷰자이1단지 110동 앞,가좌,0.003915116777319468
2,합정동주민센터 앞,합정,0.0027053861480305836
3,홍대입구역 8번출구 앞,홍대입구,0.0009668203233231013
4,명물길 원형무대 앞,신촌,0.004578361350960943
5,CJ 드림시티,응암,0.0015613196035383404
6,서울신용보증재단,애오개,0.005370102461064903
7,성산2교 사거리,가좌,0.0047594997765428955
8,마포구청 앞,마포구청,0.002677470508908342
9,북성초교,아현,0.003977626198298937
10,신석초교앞 교차로 교통섬,대흥,0.005586041570691557
11,성산2-1 공영주차장,마포구청,0.0036315963655953786
12,망원2빗물펌프장 앞,망원,0.008440371201550454
13,가좌역1 번출구 앞,가좌,0.000482145777661107
14,중앙근린공원,가좌,0.006824644827989514
15,벽산상암스마트큐브,마포구청,0.0015512757717383043
16,삼각지역 14번 출구 앞(교통섬),삼각지,0.0010980706272824456
17,서교동 사거리,합정,0.005880027044358244
18,홍제삼거리 북측,홍제,0.0038469741100530808
19,DMC홍보관,수색,0.005023529605779214
20,한강공원 망원나들목,마포구청,0.010231355170859437
21,연남동주민센터 앞,가좌,0.007669992247694038
22,DMC산학협력연구센터 앞,수색,0.007009678921498838
23,망원초록길 입구,망원,0.00877774236352009
24,마포구중앙도서관 정문 앞,마포구청,0.004849196595975917
25,염리초등학교 앞,마포,0.0030494915796489266
26,마포구청역,마포구청,0.0033792960395458635
27,하늘채코오롱아파트 건너편,가좌,0.00513116672607812
28,신촌동 제1공영주차장 앞,신촌,0.004686029855847347
29,홍대입구역 6번출구,홍대입구,0.003529115625549757
30,망원역 1번출구 앞,망원,0.0007290256031248089
31,망원역 2번출구 앞,망원,0.0013858827201727714
32,아만티호텔 앞,홍대입구,0.006528234239065274
33,증산역 4번출구,증산,0.0005644285783007854
34,신한은행 서교동지점,홍대입구,0.006885564687404719
35,합정역 1번출구 앞,합정,0.001706758367672626
36,새절역 2번출구,새절,0.0003512386459324423
37,서교동사거리(신),홍대입구,0.005129507973635253
38,마포중앙도서관,마포구청,0.004863277403451363
39,DMC파크뷰자이아파트 302동 앞,가좌,0.008354792269115594
40,삼성화재 사옥 옆,당산,0.004283316934625439
41,가재울 초등학교,가좌,0.006513690937092668
42,여의도 순복음교회,국회의사당,0.005880086036454728
43,산업은행 앞,국회의사당,0.003214558686050152
44,성산시영아파트,월드컵경기장,0.004518497959724279
45,제일빌딩 앞,상수,0.002869205888828578
46,7번가피자 서교망원점,망원,0.00366519923475299
47,홍대입구역 3번출구,홍대입구,0.001104205546995832
48,서우빌딩,증산,0.005102278635334513
49,연가교 교차로,가좌,0.006779291419907888
50,서부운전면허시험장,수색,0.01358334171968135
51,연희삼거리,홍대입구,0.012494877462801226
52,일진아이윌아파트 옆,홍대입구,0.007540589596286675
53,홍대입구역 2번출구 앞,홍대입구,0.0015797553797937004
54,상수역 2번출구 앞,상수,0.0006959967597503881
55,코오롱아파트사거리,홍대입구,0.007054420479881762
56,마포역 4번출구 뒤,마포,0.00030215740285608915
57,신촌역(2호선) 1번출구 옆,신촌,0.0006608181432131958
58,스타벅스(동교동) 앞,홍대입구,0.005538140440611587
59,월드컵경기장역 3번출구 옆,월드컵경기장,0.0012306785969077626
60,옥수역 3번출구,옥수,0.0007113970314846337
61,합정역 5번출구 앞,합정,0.0012149319062834904
62,홈플러스 앞,월드컵경기장,0.001119317657371382
63,상신초등학교앞 버스정류장,새절,0.005750040641038389
64,시석빌딩 앞,합정,0.0031968859754563307
65,대림경동아파트앞,가양,0.0033992471872455556
66,연희파크푸르지오아파트 앞,가좌,0.014261134688610944
67,당산역 10번출구 앞,당산,0.0007138893808591397
68,극동방송국 앞,상수,0.001526747225607667
69,여의나루역 1번출구 앞,여의나루,0.0010027272654642375
70,상암월드컵파크 7단지 앞,수색,0.015033714133859297
71,가좌행복주택 앞,가좌,0.003779654872552891
72,영등포구청역 1번출구,영등포구청,0.0004277690452917248
